AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,Label
-118,672,1006,17134,12500,127073,253,-524,214,57987,-93841,53170,413,-943,-794,28841,-149634,-41524,-337,-203,-821,48475,4329,-122682,-144,268,-272,23414,84146,-88048,-129,616,-358,-1036,113597,-77012,-257,202,-19,-27987,121524,7439,-106,404,371,-46951,104146,17560,-41,143,884,-93719,66219,98902,201,-304,488,-56341,-51402,94695,300,-353,32,14878,-61829,49634,257,-711,-370,32804,-83841,-15365,-48,345,-225,-12378,-55304,-73719,-165,153,-94,15914,-12256,-16341,-11,112,-20,-6585,609,-18353,14,12,0,-1158,-1158,-6646,-23,24,1,914,5243,4085,2,18,-9,-1707,-1280,1463,18,-6,9,2195,-1219,5365,-13,-19,-55,2804,-1463,2439,"clockwise"
30,833,834,6219,38231,125304,278,-594,305,65487,-80121,80487,232,-1070,-360,15792,-137987,-9756,-133,-58,-853,58231,-46402,-95182,-287,162,-429,31646,75060,-142256,-214,348,-344,15609,90243,-104695,-273,420,-175,-27012,101585,-27865,-63,211,48,-40609,87926,5182,86,1010,771,-115304,102987,5182,-248,-196,412,-69024,914,163353,326,-854,463,2439,-21402,76768,281,-569,145,25914,-96158,-4634,-70,188,-360,13841,-80304,-35548,-39,236,-390,29756,-25548,-17865,15,20,-30,426,-10731,-11585,-20,24,-19,1829,-792,-4024,-37,-77,-2,15731,7560,3597,20,35,57,-16768,6707,-9451,20,-6,43,-9817,-3475,-2317,-17,-7,-41,-4512,-8475,-365,"clockwise"
346,182,1018,13170,-6341,157256,-11,-851,-89,45914,-118231,22926,71,-85,-732,24024,-87865,-97804,-25,-80,-487,60548,21707,-111768,-310,425,-689,30365,65243,-76951,-241,418,-191,-32682,131646,-44878,13,540,345,-63841,149878,-6280,22,249,668,-32743,75426,42317,-110,70,700,-81158,-12926,101890,148,-491,157,-18170,-43170,86463,180,-838,-70,25853,-99390,23475,-70,252,-509,27621,-71341,-50548,-5,58,-119,17865,4390,-9817,53,212,-15,-20426,-6707,-35000,-108,-63,-34,10609,-5548,3292,29,81,5,-8231,6829,-5182,-5,-32,-11,6402,2195,2865,27,20,13,365,0,-487,0,-6,-4,-1890,-2012,1463,3,-26,28,-2560,0,914,"clockwise"
-87,517,1011,-3536,12865,176646,342,-361,154,19817,-87256,25731,168,-1190,-983,86036,-131585,-35792,-247,234,-605,22804,36097,-163231,-131,264,-344,44573,41463,-85243,-243,394,-363,-8841,95609,-64390,-175,604,28,-79878,130548,7134,165,143,481,-11402,100670,18902,-20,116,1060,-57195,46585,86036,197,-615,458,-36585,-93719,93109,47,-350,-321,-121,-81829,18719,24,-60,-358,20670,-45853,-16280,-35,-6,-121,9573,-15853,-23414,8,209,-76,-2317,-7012,-34573,4,64,-41,3597,2804,-4146,-29,-21,16,-3109,1585,-2926,22,38,35,-4817,-4573,-3170,-19,-36,-40,-304,-2987,3231,15,31,12,487,182,-1341,14,1,-25,-1951,-670,731,"clockwise"
140,449,906,4573,-34756,177378,275,-580,-89,46524,-68658,51036,-91,-757,-572,18109,-51707,-51402,-336,-104,-230,49634,-11219,-107378,102,525,-641,43292,28109,-148048,-231,249,-473,10609,89024,-64695,-222,314,145,-15060,132134,6158,46,490,525,-15304,82682,28902,-226,-60,544,-109573,44817,82500,34,-258,397,-53658,-15670,66585,312,-439,59,-26951,-56280,55853,225,-223,30,-7682,-66768,-9146,14,-76,-228,32987,-51219,-23963,-21,184,-273,16951,-18231,-38414,-53,138,-86,12317,304,-16951,11,33,18,-1097,2682,-6890,-18,-9,38,5365,2621,-3048,19,36,9,-6768,-1829,-426,-15,9,-64,-4573,-5792,609,16,-7,25,-1219,4085,3536,"clockwise"
-133,763,661,-10243,26951,130914,48,-176,428,11585,-65365,62256,603,-1169,-493,106524,-126036,36951,-87,-470,-680,33048,-243,-147378,-157,270,-514,53109,6463,-116585,-273,485,-285,13597,94390,-86890,-302,144,-129,-18841,120792,9756,10,279,179,-53109,76036,4573,-111,563,538,-99512,69756,1524,47,84,503,-63292,2682,64024,41,-458,393,-72500,-27621,106280,336,-891,208,37865,-66341,35304,-12,209,-290,9512,-69878,-44695,33,192,-375,48475,-30121,-20548,-37,139,-151,14573,-15121,-26402,-28,36,17,792,-609,-6829,17,-27,-8,-5243,2134,-4878,-30,66,-13,-8963,-975,-4085,2,-56,-14,15426,-5243,16158,2,-21,30,-2926,-548,2195,"clockwise"
191,-938,355,13048,48109,-46219,85,235,520,4146,-4085,-66036,-25,581,643,48902,-96402,-83414,125,852,-97,31585,-88902,-15000,51,691,-1249,-54695,-155609,101707,-194,-861,-1882,-182195,-21829,182621,99,-707,282,-49329,276341,127682,41,-879,625,-39085,113109,-21768,-9,-10,439,85060,104146,-113902,88,-319,1123,11402,105853,-93475,-251,754,614,43292,-49390,-134817,-225,1641,-474,56951,-154817,-59329,-170,-553,-784,34695,-74329,150914,22,-482,-181,1158,-14817,50731,63,-46,65,-26402,19024,9939,21,-62,45,20243,6341,5914,-13,5,-38,8109,1158,304,15,0,-5,-914,2804,-731,-10,25,73,3597,1646,1707,0,7,-38,121,-1890,-1463,"notClockwise"
185,-759,723,2500,-19390,-53719,-189,91,443,53109,-46707,-55853,102,1467,-6,52073,-103170,-66768,172,604,-892,-77804,-123658,96219,13,-678,-1468,-107560,-15365,108414,-143,-1028,-291,-95548,151036,116585,6,-313,431,-54268,178353,-8902,-61,-344,451,13658,100121,-43048,418,-99,943,44756,127012,-129939,-424,784,789,117926,-41158,-155060,-179,1202,-185,22987,-82926,-32195,-11,-273,-731,25182,-108048,140121,90,-643,-250,-18902,-28353,67134,32,37,53,1951,8475,6585,-33,-44,-47,9878,-975,7804,3,0,13,2500,2621,1158,17,14,40,3719,3292,2256,-2,-20,-1,975,-2073,-304,7,28,15,-1097,-2317,-1707,-4,7,-24,60,-1890,-2195,"notClockwise"
215,-824,641,-38963,6158,-57256,-376,288,851,51097,-57195,-47378,273,1403,-274,140426,-127195,-50670,185,414,-1391,-79390,-102560,89512,59,-689,-897,-123963,-19268,71524,-329,-372,-453,-144329,118963,123170,128,-593,577,-48170,194268,48536,21,-579,360,33353,110304,-97682,91,-45,611,4512,85609,-90670,39,351,1136,131829,18170,-146463,-152,937,-42,55487,-92926,-70365,-473,481,-921,49024,-115243,103414,199,-575,-307,-20853,-28719,96890,50,-172,101,-22378,5853,15060,-48,2,11,5060,1707,6097,8,-16,-52,2560,2317,4634,19,-7,18,2378,6829,4146,4,-47,35,6219,2804,-853,14,29,13,-426,-1341,-2012,-14,4,-25,-2500,-548,1097,"notClockwise"
226,-591,827,4451,4817,-85914,-47,556,562,32073,-53536,-48963,-30,937,-474,40121,-149512,-18170,169,-14,-696,-5000,-75487,51951,2,-355,-1076,-162621,-38170,82500,-304,-427,-617,-92926,132195,138902,34,-577,242,22804,177256,36036,32,-1,292,-65243,62804,-44390,-56,-240,583,87804,88536,-74024,88,65,450,-51707,66280,-49329,-150,200,860,115609,-4451,-144756,166,895,5,90487,-112317,-51341,-295,365,-498,-3475,-85121,58902,93,-447,-586,-12134,-41646,101585,115,-194,92,-12195,18597,33292,9,-115,8,13597,1463,4878,-33,-8,0,-1951,3109,8109,3,-8,42,304,3231,1585,0,-18,-26,1768,60,1768,7,-27,6,2378,1158,487,"notClockwise"
119,-862,907,10304,8841,-59024,-79,385,629,34207,-53719,-57804,339,1350,-406,77621,-152378,-41280,95,135,-1602,-87560,-119878,72439,-206,-418,-813,-151341,10731,81158,-209,-767,-145,-77500,155609,127317,-99,26,357,-80670,123109,-24024,4,-344,179,84207,83658,-5548,199,-445,883,-18414,146585,-49573,327,469,946,73719,33353,-186158,-449,570,255,83292,-74085,-83231,-257,810,-662,67134,-128475,48231,83,-581,-480,-7682,-47073,128719,104,-98,-53,-14573,-5975,24329,22,-90,-69,-4085,-975,20975,-5,-105,36,10548,7317,8475,0,8,35,-2012,4573,-1707,-16,47,15,-6890,792,-3292,-14,-10,-11,5304,3170,-1524,-2,15,-23,670,1402,-60,"notClockwise"
162,-880,592,33292,16768,-29024,-100,195,712,29634,-26219,-53353,39,1038,-253,56097,-144451,-61280,47,676,-1075,-13780,-82439,74512,109,-229,-699,-94024,-31646,53963,-72,-865,-677,-133048,49268,123780,63,-543,249,-97012,183597,25304,-25,-45,340,-12500,105000,-60243,128,-257,1060,20548,166585,-88963,-364,671,887,108109,-9146,-137865,-126,517,-46,85670,-80000,-29207,85,115,-863,21768,-147926,87500,59,-274,-208,-3475,-19939,61036,75,-83,-34,-8841,4451,19878,-7,-105,-18,1219,8658,17987,20,-33,39,853,7134,2926,9,61,-3,7621,2073,-8597,-7,9,23,-2926,4329,5060,29,-32,30,-2682,-670,-731,-25,-14,-19,4634,-4207,-2073,"notClockwise"
