AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,Label
-31.8,-1.4,-11.8,-64.2,-313,-143.6,-42.2,3.2,13.6,-41.4,-14,25.6,-17.2,6.4,13.4,78.2,129.4,138.4,-14,-4,2.8,-39,122.2,78,-22.2,-5,11,-80.8,265,43.6,-7,16.6,19.8,5.8,466.8,127.6,5.8,2.8,9,9.4,443.4,107,-4,-0.8,2.2,1,456.4,77,-4,-6,-5,93.4,479.8,93.4,12,-5.8,-9.4,-95.8,343.6,52.8,18.2,-5.6,-10.6,14,260.2,62.6,29.4,-1,-23.6,-33.6,61,57.2,43,6.4,-21.2,-84.6,-159.8,-21.6,40,-0.6,-4.2,14.4,-308.4,-40.2,14.6,5.2,24.4,-5.4,-319.4,-72.6,15.8,-1.8,19.2,0.2,-244.8,-42.6,down
-34.2,17.2,-25.4,-7.4,-282,-97.4,-31.2,2.8,9.8,-97,-80,-6,-27.8,-3.4,18.6,103.6,164.4,119,-6,-12.6,0.8,-47,187.8,74.2,-8.8,9.4,1.6,-61.2,243.4,62,-3.6,6,16.4,40.2,347,34.6,-0.8,-7.6,6.6,40.2,376.6,68.4,-0.2,-5,8.2,-208.6,438.6,38,-2.8,16,-2.2,139.6,501,91.8,2.8,-23.2,-15.6,-84.2,322.8,46.4,11,-2.6,-7.6,-131.8,228.8,10.2,16.8,6.4,-4.4,-69.4,157,33.4,19.8,1.4,-9.4,28.8,89.4,40.4,28.8,0.4,-14.8,41.8,-41.8,31,45.6,10,-11,30.4,-272,-19,44,5.4,8.2,55.4,-393.2,-69.2,down
-41.8,-12.6,-7.8,-82.6,-348.4,-164.4,-20.8,-12.2,-1.2,-381.6,70.8,64,-12,8.8,8.8,23.4,257.4,91,-2.8,4.8,14.8,176.4,345.8,92.4,-4.4,-13.8,15.8,-379,353.2,41,-5.8,18,16.6,6.8,501.4,116.2,-6.4,-2,-2.6,67.4,484.8,103.8,-1.2,-9.6,-13.2,-14.8,432,114.6,15.8,-1.8,-12.2,-51.8,309.6,95.2,21.8,5.4,-12.6,-68.8,159.8,45.8,29.4,-1.8,-16.2,44.6,35.6,21,38.8,7.4,-23.4,42.8,-122.2,14.4,40.8,3,1.4,-14.6,-309.4,-26.8,31.6,2.2,17.4,-22.6,-372.8,-81,15.2,0.8,20,89.2,-277.2,-61.4,11,-2,18.2,19.6,-208,-44.8,down
-56.6,-15.6,-31.2,45.6,-333.6,-119.6,-49,-5,2.8,-338.8,-121.4,-95.8,-29.4,13.6,19.8,-21,86,51.8,-22.6,1,27,218.6,241.2,221.6,-19.8,-11,14.4,-228.2,409,87.4,3.6,8.6,19.2,-195.2,532.8,7.2,-2.4,13.4,8.8,111.2,622.8,154.2,-3,-12.4,-8.2,134.6,528.2,153.2,14.4,-18,-5,-144.4,441,119.4,23.8,6.2,-7.4,-78.6,304.4,40.2,26,5.6,-20.4,-62,99.8,-27,23.2,0.2,-25,81.8,-5.2,36.4,45.8,-0.6,-27.2,-13.4,-202.4,26.2,38.4,9.2,-1.4,-45.2,-397,-38.4,24.2,13,27.2,61.2,-393.2,-86,8.6,-0.8,26,116.2,-257.6,-84.6,down
-33.8,-4.8,-23.8,-33.4,-266,-55.8,-34,3.8,20.4,-5.6,-80,-25,-27,1,13.6,22,127,24.6,-20.6,-15.6,0.2,-10.4,162.2,88,-7.6,-5.6,8.6,-249.4,237,105.2,-0.8,29.2,28.8,-17.8,392.8,62.2,-4.8,-10.4,16.2,75.4,510.4,66,-15.2,-9.2,-3.8,-63.8,539.4,129.4,-8.2,-5.6,-12.6,-135.4,526.6,151.4,19.4,-3,-15.2,43.4,393.8,108.2,23,9.4,-12.2,-110,156,33,33,1.8,-26.8,-7.6,77.6,33,36,9.2,-27.2,11.8,-72.4,-13.8,46.8,19.2,-14.2,93.2,-344.4,-31.2,38.6,-5.2,22.2,44.6,-462.4,-99.8,11.6,-14.4,35.8,37,-275.6,-110.6,down
-40.6,19.8,-9.4,60.6,-158.8,-47,-29.2,-4.4,2.8,73.4,-81.8,2.8,-19.6,-10,7.2,-79.4,-19.4,-22.6,-13.8,17,-3.4,50,72,-28.8,-17.6,5.6,18.4,-50,154,-31.6,-17.8,-15.8,17.2,26,363.4,176,4.6,-1,-4,2.8,414.2,151.4,6.6,14.8,-4,6.8,376,28.2,-25.2,-12.4,24.4,-221.8,397,48,-13.8,4.4,-3.6,204.2,580.6,222.2,21.2,-19.2,-27.6,-206.4,330.4,82,16.6,7.8,-7.4,-119,224.4,21.2,19.2,9.2,-8,24.6,123.4,8,27.6,-9.6,-24.6,57.2,41.4,63.8,49.8,-1.8,-22,-44,-175.6,-19,60.4,20.4,-1.8,-38.4,-443.4,-83.6,down
2.4,4.6,4.4,181.8,-201.6,-178.2,-20.6,-7.2,-22,102.4,-198.2,-111.4,-11.2,-4.6,-19.6,30.2,-210.8,-87.2,-17.6,-0.6,-13.8,32.4,-215.2,-59,-26.4,-7.6,-18,-23.6,-261.2,-43.6,-42.6,-8.4,0.2,-26.6,-190.8,-27.2,-25.4,4.2,3.8,39.8,-104.8,-15.6,-21.2,-7.2,9.6,33,-50.6,39.2,-28.4,-8.6,23.4,-33.6,137.8,106.2,-21.2,3,19.6,-147.6,308.2,84.6,2.8,-1,4.6,-93.2,352.8,114.4,-14.6,-4,26.4,1,497.2,124.2,-17.8,12.2,11,116.8,623.4,170.8,6.4,-18.6,-28.2,-195.8,506.8,138,20.8,-8,-24.4,-244.4,315.2,82.8,13.8,23.2,-2.4,88.8,276,58.4,down
6,-29.2,5.8,2.6,-235.6,-11.6,28.8,13.6,8.2,-275.4,-158.8,-69.8,9.2,30.6,24.2,261.4,-141.8,-80.4,-18.8,-29.2,-2.2,96.6,-69.4,-73.6,-1.6,-5.6,-18.6,-137.2,-76,-33.6,3.8,18.4,-19.2,133,-201.2,-53,-4.6,1.8,-22.2,77.6,-334,-124,-39.8,-6.4,-12.4,7.4,-327,-123,-43,3.4,-9.8,39.8,-241.2,-121.8,-34,-12.6,3.4,109.6,-158.6,-45.8,-23.8,-12,4.8,-98.8,-86.8,-16.2,-36.2,1.2,3,-159.6,60.6,87,-18.4,21.4,13.8,-42.2,238.2,78.2,-11.8,-25,12.8,-28.8,293,148.6,-2,10.6,8.6,-202.8,372.2,115.6,-8.6,24.8,22.2,155,539.6,146.2,down
36.4,-5.8,-38.4,46,138.8,94.6,65.6,20.2,-8.8,60,-387.4,-56.6,34,4.8,30.8,-29.6,-464.6,-118.8,4,-12.8,38.8,92,-252.6,-72.4,13,4.6,12.6,60.4,-176.4,-90.2,15.8,4.4,5.8,-82.2,-224,-90,-0.2,9,8.4,191.2,-182.8,-35.8,-4,-8.4,-4.2,26.4,-166.8,-149.8,-8.4,0.4,-17.8,48,-258.8,-135.8,-20.8,-7.8,-15.4,80.2,-287,-35.4,-35.4,-11,-8,-43,-211.4,-22.2,-27,-4.8,-2.4,-104.6,-210.6,-97,-32.8,2.8,7.8,-8.6,-96,0,-23.6,5.4,-1.6,-37.6,-0.2,88.4,-17.6,-2.8,0.2,-57.8,80,-13,-8.8,7.4,-1,23.6,64.4,-51.2,down
7.8,3,2,-224.4,464,157.2,21.6,7.6,1.8,-23.4,224,60.8,27,-15.8,-19.2,10.8,144.2,128.4,49.2,3.4,-19.6,-131,-88.8,17.2,41.8,20.8,-3.8,-21,-283.4,-34.2,57.4,-0.8,-2.8,-38.4,-469.6,-164.6,27.6,13.4,22.8,144.4,-452,-122.8,-1.8,-7,41.2,151,-287.8,-113.8,-8.6,-17.2,9.8,-119,-131.2,-123,13.2,13.8,7,2,-99.2,-80,3.8,-0.2,8.8,99.6,-128,-40.8,-15.2,-21.4,6.6,-9.6,-41.6,-73.8,4.8,21,-20.8,-22,-65.8,-48.6,8.2,3.6,-21.4,70.8,-270,-123.8,-18.6,0.4,-14.8,131.8,-338.6,-151.2,-49.8,-26.2,-6.2,1.4,-276,-70.6,down
